id,full_name,owner,name,bleu,rouge1,rouge2,rougeL,rougeLsum,chrf,bertscoref1,gte,avg_gte_match,uncovered_golden,gen_files_count,gen_empty_files_count,gen_dirs_count,gen_empty_dirs_count,gen_file_tree_depth,gen_has_root_dir,golden_files_count,golden_empty_files_count,golden_dirs_count,golden_empty_dirs_count,golden_file_tree_depth,golden_has_root_dir
1,AdamBien/aws-lambda-cdk-plain,AdamBien,aws-lambda-cdk-plain,0.008360882184508067,0.2750217580504787,0.16898954703832753,0.15839860748476936,0.2750217580504787,18.281339515496718,0.7732713222503662,0.8724545240402222,0.9508269876241684,0.7142857142857143,4,0,6,1,11,False,15,0,19,0,12,False
35,binxio/cfn-lint-plugin,binxio,cfn-lint-plugin,1.274456963596549e-09,0.08050371036653925,0.04004499437570304,0.053069485046098486,0.08005396896784349,4.438515654888722,0.7769842743873596,0.9233598113059998,0.9546250104904175,0.8,5,1,11,2,14,False,21,0,17,0,13,False
45,ChristianAA/selenium-springboot-example,ChristianAA,selenium-springboot-example,0.02501612616951891,0.3196897888841017,0.20526088831392844,0.21800947867298576,0.3179663937957777,22.914182511090637,0.8549647927284241,0.8912829160690308,0.9618124110358102,0.6111111111111112,7,0,21,4,16,True,19,0,13,0,12,False
57,dadoonet/elasticsearch-java-client-demo,dadoonet,elasticsearch-java-client-demo,1.1145856491718972e-16,0.053661697990926766,0.028004667444574097,0.03681140635126377,0.053143227478937134,3.3285834891331127,0.7869114875793457,0.7990960478782654,0.9369964301586151,0.7,4,0,15,1,15,False,11,0,12,0,13,False
63,datumbox/datumbox-framework-examples,datumbox,datumbox-framework-examples,2.1830054806693e-22,0.029051708386625255,0.01991959064327485,0.02466654485656861,0.028686278092453867,1.8440717425350461,0.7808283567428589,0.8128721714019775,0.9598555167516073,0.8947368421052632,3,0,6,3,10,True,23,0,13,0,11,False
77,Esri/java-maven-starter-project,Esri,java-maven-starter-project,1.4054809024794136e-10,0.07280043899762209,0.04172003659652333,0.048289738430583505,0.07243460764587525,4.299780597258169,0.7900629043579102,0.7965744733810425,0.9626653591791788,0.75,3,0,7,2,11,False,12,0,9,0,11,False
82,flashvayne/chatgpt-spring-boot-starter,flashvayne,chatgpt-spring-boot-starter,0.00013120829449726358,0.15388268819757775,0.07697790449037777,0.09783899311327475,0.15340774162906673,11.045976449563238,0.8517049551010132,0.9050490260124207,0.9454845104898725,0.8076923076923077,7,0,12,0,14,True,26,0,19,0,14,False
136,jonashackt/spring-reactive-redis-messaging,jonashackt,spring-reactive-redis-messaging,0.032862942473003504,0.33986928104575165,0.22649223221586265,0.26062091503267976,0.3390522875816994,26.518361324581335,0.8169851899147034,0.8953665494918823,0.9560491783278329,0.46153846153846156,7,0,14,0,15,True,14,1,18,0,12,False
176,melix/gradle-tapi-demo-artifacts,melix,gradle-tapi-demo-artifacts,1.553749409656942e-10,0.06085918854415275,0.024273776362912856,0.035003977724741446,0.05966587112171838,4.276401572733487,0.7923770546913147,0.781894862651825,0.9480603337287903,0.8125,4,0,10,1,15,True,19,0,28,0,13,False
246,slack-samples/bolt-java-starter-template,slack-samples,bolt-java-starter-template,9.532920698838225e-07,0.12577988520089842,0.07890137328339576,0.09034190167207387,0.12577988520089842,6.514362308477664,0.8270172476768494,0.9150322079658508,0.9593472242355346,0.8518518518518519,5,0,8,0,12,True,28,0,19,0,10,False
